1932, growth, nokia, 3, 150.00, 10/10/2020, 7508.20, 10/10/2024
1256, growth, apple, 5, 500.00, 10/11/2020, 0.00, 0
6421, income, google, 3, 760.40, 01/01/2021, 0.00, 0
10419, preferred, facebook, 9, 2305.15, 05/09/2021, 0.00, 0
6827, income, swappie, 2, 457.44, 21/03/2020, 150.00, 06/06/2026
5212, blue-chips, instagram, 10, 10000.00, 24/10/2021, 0.00, 0
9515, preferred, hp, 6, 430.57, 01/08/2020, 0.00, 0
8875, blue-chips, tesla, 9, 9430.00, 26/09/2020, 0.00, 0
7364, common, apple, 2, 90.00, 09/09/2021, 3600.00, 08/12/2022
9624, growth, tesla , 3, 740.99, 10/10/2021, 0.00, 0
2170, growth, microsoft, 2, 832.03, 01/01/2021, 0.00, 0
